timestamp,temperature,radiation,pressure,battery_level,signal_strength,velocity,altitude
2026-01-15T08:00:00Z,22.46,2.8773,101.094,74.96,-72.54,7.685,408.29
2026-01-15T08:00:30Z,21.07,2.7552,101.16,75.86,-70.54,7.6765,408.78
2026-01-15T08:01:00Z,24.38,3.0749,101.232,75.53,-71.1,7.7049,407.68
2026-01-15T08:01:30Z,25.29,2.8313,101.19,75.84,-72.0,7.6374,408.59
2026-01-15T08:02:00Z,21.58,2.8715,101.145,76.76,-71.93,7.6658,408.22
2026-01-15T08:02:30Z,23.17,3.0895,101.143,75.16,-72.59,7.6646,408.49
2026-01-15T08:03:00Z,25.93,3.1639,101.139,77.97,-69.99,7.6372,407.8
2026-01-15T08:03:30Z,25.88,3.1575,101.125,77.9,-70.49,7.7006,408.79
2026-01-15T08:04:00Z,26.94,2.8779,101.377,78.35,-72.64,7.6766,408.63
2026-01-15T08:04:30Z,26.28,3.2515,101.218,79.67,-70.17,7.6995,408.43
2026-01-15T08:05:00Z,29.48,3.0553,101.264,77.15,-70.35,7.7346,408.68
2026-01-15T08:05:30Z,29.91,3.2848,101.154,77.52,-67.11,7.6829,408.3
2026-01-15T08:06:00Z,29.42,3.0745,101.177,80.15,-70.79,7.6841,408.41
2026-01-15T08:06:30Z,31.58,3.393,101.134,80.25,-70.22,7.6974,408.49
2026-01-15T08:07:00Z,31.15,3.2424,100.979,80.8,-66.91,7.7173,408.11
2026-01-15T08:07:30Z,29.71,3.2076,101.08,80.54,-66.37,7.6887,408.97
2026-01-15T08:08:00Z,32.09,3.543,101.044,82.02,-68.65,7.6898,409.11
2026-01-15T08:08:30Z,30.63,3.5073,101.009,82.64,-68.28,7.7259,408.59
2026-01-15T08:09:00Z,33.9,3.4132,101.092,82.54,-66.56,7.7146,408.94
2026-01-15T08:09:30Z,33.01,3.7565,101.293,82.13,-69.87,7.6684,408.8
2026-01-15T08:10:00Z,33.29,3.5052,101.183,80.61,-69.09,7.6869,409.01
2026-01-15T08:10:30Z,33.02,3.6078,101.289,83.8,-66.98,7.7436,408.76
2026-01-15T08:11:00Z,36.34,3.6739,101.218,84.56,-64.58,7.7236,408.72
2026-01-15T08:11:30Z,34.72,3.5703,101.247,84.28,-66.77,7.7023,409.34
2026-01-15T08:12:00Z,34.73,3.7624,101.112,83.04,-65.93,7.716,409.04
2026-01-15T08:12:30Z,35.26,3.6392,101.225,84.87,-64.51,7.7215,409.69
2026-01-15T08:13:00Z,36.98,3.6839,101.241,85.32,-63.17,7.7378,409.13
2026-01-15T08:13:30Z,37.11,3.9752,101.136,86.27,-66.22,7.6976,408.87
2026-01-15T08:14:00Z,37.54,3.6388,101.226,84.07,-65.39,7.7095,409.54
2026-01-15T08:14:30Z,37.91,3.4557,101.226,84.95,-63.03,7.7333,409.39
2026-01-15T08:15:00Z,40.8,4.0809,101.136,86.14,-66.9,7.7273,409.44
2026-01-15T08:15:30Z,37.28,4.2419,101.089,85.65,-63.7,7.7421,409.6
2026-01-15T08:16:00Z,37.41,3.8178,101.084,84.67,-66.03,7.7073,409.07
2026-01-15T08:16:30Z,37.22,3.6057,101.185,86.38,-64.57,7.7402,409.25
2026-01-15T08:17:00Z,39.61,3.866,101.203,86.7,-64.87,7.756,409.25
2026-01-15T08:17:30Z,40.61,3.8847,101.113,86.36,-65.63,7.7449,408.93
2026-01-15T08:18:00Z,38.95,3.9128,101.178,86.63,-65.57,7.7389,409.26
2026-01-15T08:18:30Z,38.04,3.7865,101.221,86.28,-63.98,7.735,409.75
2026-01-15T08:19:00Z,38.23,4.0513,101.224,88.12,-63.04,7.7209,409.43
2026-01-15T08:19:30Z,40.58,4.0525,101.298,85.84,-64.33,7.7368,408.97
2026-01-15T08:20:00Z,40.84,3.7576,101.275,86.23,-64.04,7.764,408.91
2026-01-15T08:20:30Z,40.64,4.0932,101.093,86.89,-63.39,7.7368,409.88
